source,target,type,id,label,weight
1,0,Undirected,0,,1.0
2,0,Undirected,1,,8.0
3,0,Undirected,2,,10.0
3,2,Undirected,3,,6.0
4,0,Undirected,4,,1.0
5,0,Undirected,5,,1.0
6,0,Undirected,6,,1.0
7,0,Undirected,7,,1.0
8,0,Undirected,8,,2.0
9,0,Undirected,9,,1.0
11,0,Undirected,13,,5.0
11,2,Undirected,12,,3.0
11,3,Undirected,11,,3.0
11,10,Undirected,10,,1.0
12,11,Undirected,14,,1.0
13,11,Undirected,15,,1.0
14,11,Undirected,16,,1.0
15,11,Undirected,17,,1.0
17,16,Undirected,18,,4.0
18,16,Undirected,19,,4.0
18,17,Undirected,20,,4.0
19,16,Undirected,21,,4.0
19,17,Undirected,22,,4.0
19,18,Undirected,23,,4.0
20,16,Undirected,24,,3.0
20,17,Undirected,25,,3.0
20,18,Undirected,26,,3.0
20,19,Undirected,27,,4.0
21,16,Undirected,28,,3.0
21,17,Undirected,29,,3.0
21,18,Undirected,30,,3.0
21,19,Undirected,31,,3.0
21,20,Undirected,32,,5.0
22,16,Undirected,33,,3.0
22,17,Undirected,34,,3.0
22,18,Undirected,35,,3.0
22,19,Undirected,36,,3.0
22,20,Undirected,37,,4.0
22,21,Undirected,38,,4.0
23,11,Undirected,47,,9.0
23,12,Undirected,46,,2.0
23,16,Undirected,39,,3.0
23,17,Undirected,40,,3.0
23,18,Undirected,41,,3.0
23,19,Undirected,42,,3.0
23,20,Undirected,43,,4.0
23,21,Undirected,44,,4.0
23,22,Undirected,45,,4.0
24,11,Undirected,49,,7.0
24,23,Undirected,48,,2.0
25,11,Undirected,52,,12.0
25,23,Undirected,51,,1.0
25,24,Undirected,50,,13.0
26,11,Undirected,54,,31.0
26,16,Undirected,55,,1.0
26,24,Undirected,53,,4.0
26,25,Undirected,56,,1.0
27,11,Undirected,57,,17.0
27,23,Undirected,58,,5.0
27,24,Undirected,60,,1.0
27,25,Undirected,59,,5.0
27,26,Undirected,61,,1.0
28,11,Undirected,62,,8.0
28,27,Undirected,63,,1.0
29,11,Undirected,66,,2.0
29,23,Undirected,64,,1.0
29,27,Undirected,65,,1.0
30,23,Undirected,67,,1.0
31,11,Undirected,69,,3.0
31,23,Undirected,70,,2.0
31,27,Undirected,71,,1.0
31,30,Undirected,68,,2.0
32,11,Undirected,72,,1.0
33,11,Undirected,73,,2.0
33,27,Undirected,74,,1.0
34,11,Undirected,75,,3.0
34,29,Undirected,76,,2.0
35,11,Undirected,77,,3.0
35,29,Undirected,79,,2.0
35,34,Undirected,78,,3.0
36,11,Undirected,82,,2.0
36,29,Undirected,83,,1.0
36,34,Undirected,80,,2.0
36,35,Undirected,81,,2.0
37,11,Undirected,87,,2.0
37,29,Undirected,88,,1.0
37,34,Undirected,84,,2.0
37,35,Undirected,85,,2.0
37,36,Undirected,86,,2.0
38,11,Undirected,93,,2.0
38,29,Undirected,94,,1.0
38,34,Undirected,89,,2.0
38,35,Undirected,90,,2.0
38,36,Undirected,91,,2.0
38,37,Undirected,92,,2.0
39,25,Undirected,95,,1.0
40,25,Undirected,96,,1.0
41,24,Undirected,97,,2.0
41,25,Undirected,98,,3.0
42,24,Undirected,101,,1.0
42,25,Undirected,100,,2.0
42,41,Undirected,99,,2.0
43,11,Undirected,102,,3.0
43,26,Undirected,103,,1.0
43,27,Undirected,104,,1.0
44,11,Undirected,106,,1.0
44,28,Undirected,105,,3.0
45,28,Undirected,107,,2.0
47,46,Undirected,108,,1.0
48,11,Undirected,112,,1.0
48,25,Undirected,110,,1.0
48,27,Undirected,111,,1.0
48,47,Undirected,109,,2.0
49,11,Undirected,114,,2.0
49,26,Undirected,113,,3.0
50,24,Undirected,116,,1.0
50,49,Undirected,115,,1.0
51,11,Undirected,119,,2.0
51,26,Undirected,118,,2.0
51,49,Undirected,117,,9.0
52,39,Undirected,121,,1.0
52,51,Undirected,120,,1.0
53,51,Undirected,122,,1.0
54,26,Undirected,125,,1.0
54,49,Undirected,124,,1.0
54,51,Undirected,123,,2.0
55,11,Undirected,131,,19.0
55,16,Undirected,132,,1.0
55,25,Undirected,133,,2.0
55,26,Undirected,130,,21.0
55,39,Undirected,128,,1.0
55,41,Undirected,134,,5.0
55,48,Undirected,135,,4.0
55,49,Undirected,127,,12.0
55,51,Undirected,126,,6.0
55,54,Undirected,129,,1.0
56,49,Undirected,136,,1.0
56,55,Undirected,137,,1.0
57,41,Undirected,139,,1.0
57,48,Undirected,140,,1.0
57,55,Undirected,138,,1.0
58,11,Undirected,145,,4.0
58,27,Undirected,143,,6.0
58,48,Undirected,142,,7.0
58,55,Undirected,141,,7.0
58,57,Undirected,144,,1.0
59,48,Undirected,148,,6.0
59,55,Undirected,147,,5.0
59,57,Undirected,149,,2.0
59,58,Undirected,146,,15.0
60,48,Undirected,150,,1.0
60,58,Undirected,151,,4.0
60,59,Undirected,152,,2.0
61,48,Undirected,153,,2.0
61,55,Undirected,158,,1.0
61,57,Undirected,157,,1.0
61,58,Undirected,154,,6.0
61,59,Undirected,156,,5.0
61,60,Undirected,155,,2.0
62,41,Undirected,164,,1.0
62,48,Undirected,162,,7.0
62,55,Undirected,159,,9.0
62,57,Undirected,163,,2.0
62,58,Undirected,160,,17.0
62,59,Undirected,161,,13.0
62,60,Undirected,166,,3.0
62,61,Undirected,165,,6.0
63,48,Undirected,168,,5.0
63,55,Undirected,174,,1.0
63,57,Undirected,170,,2.0
63,58,Undirected,171,,4.0
63,59,Undirected,167,,5.0
63,60,Undirected,173,,2.0
63,61,Undirected,172,,3.0
63,62,Undirected,169,,6.0
64,11,Undirected,184,,1.0
64,48,Undirected,177,,5.0
64,55,Undirected,175,,5.0
64,57,Undirected,183,,1.0
64,58,Undirected,179,,10.0
64,59,Undirected,182,,9.0
64,60,Undirected,181,,2.0
64,61,Undirected,180,,6.0
64,62,Undirected,176,,12.0
64,63,Undirected,178,,4.0
65,48,Undirected,187,,3.0
65,55,Undirected,194,,2.0
65,57,Undirected,193,,1.0
65,58,Undirected,189,,5.0
65,59,Undirected,192,,5.0
65,60,Undirected,191,,2.0
65,61,Undirected,190,,5.0
65,62,Undirected,188,,5.0
65,63,Undirected,185,,5.0
65,64,Undirected,186,,7.0
66,48,Undirected,200,,1.0
66,58,Undirected,196,,3.0
66,59,Undirected,197,,1.0
66,60,Undirected,203,,1.0
66,61,Undirected,202,,1.0
66,62,Undirected,198,,2.0
66,63,Undirected,201,,1.0
66,64,Undirected,195,,3.0
66,65,Undirected,199,,2.0
67,57,Undirected,204,,3.0
68,11,Undirected,206,,1.0
68,24,Undirected,207,,1.0
68,25,Undirected,205,,5.0
68,27,Undirected,208,,1.0
68,41,Undirected,210,,1.0
68,48,Undirected,209,,1.0
69,11,Undirected,213,,1.0
69,24,Undirected,214,,1.0
69,25,Undirected,211,,6.0
69,27,Undirected,215,,2.0
69,41,Undirected,217,,1.0
69,48,Undirected,216,,1.0
69,68,Undirected,212,,6.0
70,11,Undirected,221,,1.0
70,24,Undirected,222,,1.0
70,25,Undirected,218,,4.0
70,27,Undirected,223,,1.0
70,41,Undirected,224,,1.0
70,58,Undirected,225,,1.0
70,68,Undirected,220,,4.0
70,69,Undirected,219,,4.0
71,11,Undirected,230,,1.0
71,25,Undirected,233,,1.0
71,27,Undirected,226,,1.0
71,41,Undirected,232,,1.0
71,48,Undirected,231,,1.0
71,68,Undirected,228,,2.0
71,69,Undirected,227,,2.0
71,70,Undirected,229,,2.0
72,11,Undirected,236,,1.0
72,26,Undirected,234,,2.0
72,27,Undirected,235,,1.0
73,48,Undirected,237,,2.0
74,48,Undirected,238,,2.0
74,73,Undirected,239,,3.0
75,25,Undirected,242,,3.0
75,41,Undirected,244,,1.0
75,48,Undirected,243,,1.0
75,68,Undirected,241,,3.0
75,69,Undirected,240,,3.0
75,70,Undirected,245,,1.0
75,71,Undirected,246,,1.0
76,48,Undirected,252,,1.0
76,58,Undirected,253,,1.0
76,62,Undirected,251,,1.0
76,63,Undirected,250,,1.0
76,64,Undirected,247,,1.0
76,65,Undirected,248,,1.0
76,66,Undirected,249,,1.0
